UHS,@uhs_inc
ULTA,@UltaBeauty
UNFI,@UNFI
UNH,@UnitedHealthGrp
UNM,@unumrecruit
UNP,@unionpacific
UNVR,@Univar
UPS,@ups
URI,@united_rentals
USB,@usbank
USFD,@usfoods
UTX,@UTC
V,@visa
VFC,@vfcorp
VIAB,@Viacom
VLO,@ValeroEnergy
VOYA,@voya
VRTV,@Veritiv
VST,@VistraEnergy
VZ,@verizon
WBA,@Walgreens
WCC,@WESCOCorp
WCG,@wellcare_health
WDC,@westerndigital
WEC,@WECEnergyGroup
WFC,@wellsfargo
WHR,@whirlpoolcorp
WIN,@windstream
WLK,@WESTLAKECHEM
WM,@WasteManagement
WMB,@williamsupdates
WMT,@walmart
WRB,@WRBerkleyCorp
WRK,@westrock
WU,@WesternUnion
WY,@Weyerhaeuser
WYN,@wyndestinations
WYNN,@WynnLasVegas
X,@U_S_Steel
XEL,@xcelenergymn
XOM,@exxonmobil
XPO,@xpologistics
XRX,@Xerox
YUM,@yumbrands
ZBH,@zimmerbiomet
